2023-06-12 01:44:35 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.2.5.Final 
2023-06-12 01:44:35 [main] INFO  v.c.t.m.ManagementApplication                      - Starting ManagementApplication using Java 19.0.1 on trungtien with PID 20388 (G:\DEV2206LM-FE35\Java\Springboot\parking-management\management\target\classes started by Trungtien in G:\DEV2206LM-FE35\Java\Springboot\parking-management) 
2023-06-12 01:44:35 [main] INFO  v.c.t.m.ManagementApplication                      - No active profile set, falling back to 1 default profile: "default" 
2023-06-12 01:44:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2023-06-12 01:44:38 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 112 ms. Found 7 JPA repository interfaces. 
2023-06-12 01:44:39 [main] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (http) 
2023-06-12 01:44:39 [main] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8080"] 
2023-06-12 01:44:39 [main] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2023-06-12 01:44:39 [main] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.75] 
2023-06-12 01:44:39 [main] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2023-06-12 01:44:39 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 3613 ms 
2023-06-12 01:44:39 [main] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default] 
2023-06-12 01:44:39 [main] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 5.6.15.Final 
2023-06-12 01:44:40 [main] INFO  o.h.a.c.Version                                    - HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2023-06-12 01:44:40 [main] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting... 
2023-06-12 01:44:40 [main] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed. 
2023-06-12 01:44:40 [main] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect 
2023-06-12 01:44:43 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2023-06-12 01:44:43 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2023-06-12 01:44:43 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2023-06-12 01:44:46 [main] INFO  o.s.s.w.DefaultSecurityFilterChain                 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1aee0f49, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7a80ebcd, org.springframework.security.web.context.SecurityContextPersistenceFilter@6edc8385, org.springframework.security.web.header.HeaderWriterFilter@318beab4, org.springframework.web.filter.CorsFilter@365eaef, org.springframework.security.web.authentication.logout.LogoutFilter@5e08ed28, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5e2525fe, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@70d24586, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1af29a19, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@631c6ef4, org.springframework.security.web.session.SessionManagementFilter@6abbdcde, org.springframework.security.web.access.ExceptionTranslationFilter@498cf1dc, org.springframework.security.web.access.intercept.AuthorizationFilter@4bfaff23] 
2023-06-12 01:44:48 [main] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-8080"] 
2023-06-12 01:44:48 [main] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8080 (http) with context path '' 
2023-06-12 01:44:48 [main] INFO  v.c.t.m.ManagementApplication                      - Started ManagementApplication in 13.817 seconds (JVM running for 16.165) 
2023-06-12 01:45:05 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring DispatcherServlet 'dispatcherServlet' 
2023-06-12 01:45:05 [http-nio-8080-exec-1] INFO  o.s.w.s.DispatcherServlet                          - Initializing Servlet 'dispatcherServlet' 
2023-06-12 01:45:05 [http-nio-8080-exec-1] INFO  o.s.w.s.DispatcherServlet                          - Completed initialization in 0 ms 
2023-06-12 01:48:03 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default' 
2023-06-12 01:48:03 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown initiated... 
2023-06-12 01:48:03 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Shutdown completed. 
